region,universe,decay,neutralization,delay,alpha_expr,sharpe,fitness,turnover,weight_concentration,failure_reason
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(rank(ts_rank(close), 20)",2.47,0.07,0.21,0.62,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(rank(ts_rank(close), 20)",0.12,1.12,0.26,0.78,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(rank(ts_rank(close), 4)",2.44,0.04,0.29,0.21,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(rank(ts_rank(close), 8)",0.48,1.68,0.01,0.39,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,zscore(ts_rank(close),0.59,2.19,0.62,0.51,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(zscore(ts_rank(close), 5)",0.67,1.87,0.21,0.34,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(zscore(ts_rank(close), 5)",1.57,0.97,0.21,0.51,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(zscore(ts_rank(close), 10)",2.33,0.33,0.27,0.67,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(zscore(ts_rank(close), 10)",0.83,1.43,0.27,0.23,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(zscore(ts_rank(close), 20)",-0.14,0.06,0.73,0.76,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(zscore(ts_rank(close), 20)",0.94,0.94,0.63,0.53,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(zscore(ts_rank(close), 2)",1.76,0.16,0.88,0.99,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(zscore(ts_rank(close), 4)",0.14,1.54,0.77,0.96,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(zscore(ts_rank(close), 8)",1.91,0.11,0.3,0.59,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(ts_rank(close, 10), 5)",2.16,0.16,0.72,0.78,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(ts_rank(close, 10), 5)",1.19,1.19,0.49,0.78,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(ts_rank(close, 10), 10)",1.98,0.98,0.69,0.59,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(ts_rank(close, 10), 10)",0.86,0.26,0.23,0.35,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(ts_rank(close, 10), 20)",-0.13,1.87,0.05,0.76,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(ts_rank(close, 10), 20)",1.9,0.7,0.38,0.77,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(ts_rank(close, 10), 2)",0.43,1.43,0.86,0.33,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(ts_rank(close, 10), 4)",1.89,0.09,0.89,0.82,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(ts_rank(close, 10), 8)",1.59,0.19,0.85,0.34,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(ts_rank(close, 20), 5)",1.11,0.91,0.1,0.37,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(ts_rank(close, 20), 10)",0.13,0.93,0.51,0.78,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(ts_rank(close, 20), 10)",1.43,0.03,0.06,0.33,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(ts_rank(close, 20), 20)",2.62,0.82,0.31,0.4,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(ts_rank(close, 20), 2)",1.94,0.54,0.86,0.42,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(ts_rank(close, 20), 8)",2.36,0.56,0.66,0.91,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,rank(rank(close-open)),1.32,0.72,0.47,0.03,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(rank(rank(close-open)), 5)",0.71,0.31,0.25,0.4,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(rank(rank(close-open)), 10)",0.65,0.85,0.85,0.87,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(rank(rank(close-open)), 20)",1.01,1.61,0.43,0.77,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(rank(rank(close-open)), 20)",0.1,1.5,0.12,0.78,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(rank(rank(close-open)), 2)",0.06,0.26,0.55,0.78,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(rank(rank(close-open)), 4)",0.8,0.8,0.52,0.23,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(rank(rank(close-open)), 8)",1.23,0.03,0.11,0.79,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(zscore(rank(close-open)), 5)",0.49,1.89,0.57,0.33,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(zscore(rank(close-open)), 5)",1.39,0.99,0.82,0.03,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(zscore(rank(close-open)), 10)",0.2,0.2,0.05,0.02,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(zscore(rank(close-open)), 10)",0.4,1.4,0.25,0.27,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(zscore(rank(close-open)), 20)",2.59,0.79,0.65,0.22,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(zscore(rank(close-open)), 2)",1.35,0.35,0.22,0.56,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(zscore(rank(close-open)), 4)",1.5,0.7,0.62,0.39,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(zscore(rank(close-open)), 8)",1.6,0.0,0.21,0.34,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(rank(close-open), 10), 5)",2.69,0.69,0.37,0.87,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(rank(close-open), 10), 10)",2.18,0.18,0.12,0.84,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(rank(close-open), 10), 10)",0.37,0.37,0.76,0.38,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(rank(close-open), 10), 20)",0.83,0.83,0.23,0.64,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(rank(close-open), 10), 20)",0.86,0.26,0.88,0.29,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(rank(close-open), 10), 8)",-0.12,0.68,0.56,0.06,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(rank(close-open), 20), 5)",0.36,1.36,0.8,0.15,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(rank(close-open), 20), 10)",0.54,1.74,0.32,0.8,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(rank(close-open), 20), 20)",2.15,1.75,0.76,0.31,high_turnover
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(rank(close-open), 20), 2)",0.68,0.48,0.04,0.16,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(rank(close-open), 20), 4)",0.65,0.65,0.46,0.75,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(rank(close-open), 20), 8)",0.67,2.07,0.89,0.75,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,rank(-ts_corr(rank(volume)),0.23,1.83,0.19,0.02,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(rank(-ts_corr(rank(volume)), 5)",0.1,2.1,0.3,0.01,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(rank(-ts_corr(rank(volume)), 5)",2.75,0.75,0.85,0.82,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(rank(-ts_corr(rank(volume)), 10)",0.58,0.38,0.88,0.98,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(rank(-ts_corr(rank(volume)), 20)",0.71,1.51,0.77,0.4,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(rank(-ts_corr(rank(volume)), 20)",1.18,1.38,0.58,0.02,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(rank(-ts_corr(rank(volume)), 4)",0.48,0.08,0.65,0.56,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,zscore(-ts_corr(rank(volume)),1.75,0.55,0.83,0.58,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(zscore(-ts_corr(rank(volume)), 5)",0.76,1.16,0.22,0.4,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(zscore(-ts_corr(rank(volume)), 5)",0.27,1.87,0.32,0.32,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(zscore(-ts_corr(rank(volume)), 10)",1.84,1.64,0.89,0.94,high_turnover
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(zscore(-ts_corr(rank(volume)), 20)",2.56,1.96,0.73,0.39,high_turnover
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(zscore(-ts_corr(rank(volume)), 2)",0.77,1.17,0.09,0.23,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(zscore(-ts_corr(rank(volume)), 4)",0.34,0.74,0.12,0.03,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(zscore(-ts_corr(rank(volume)), 8)",2.5,1.5,0.72,0.04,high_turnover
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(-ts_corr(rank(volume), 10), 5)",2.35,0.95,0.19,0.03,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(-ts_corr(rank(volume), 10), 5)",-0.06,0.94,0.02,0.36,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(-ts_corr(rank(volume), 10), 10)",1.54,0.14,0.46,0.63,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(-ts_corr(rank(volume), 10), 10)",1.69,0.69,0.52,0.64,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(-ts_corr(rank(volume), 10), 20)",1.07,0.87,0.26,0.42,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(-ts_corr(rank(volume), 10), 2)",0.98,0.58,0.21,0.3,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(-ts_corr(rank(volume), 10), 8)",2.29,0.49,0.09,0.55,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(-ts_corr(rank(volume), 20), 5)",2.71,0.11,0.11,0.81,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(-ts_corr(rank(volume), 20), 5)",0.22,0.62,0.57,0.9,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(-ts_corr(rank(volume), 20), 10)",1.22,0.62,0.28,0.67,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(-ts_corr(rank(volume), 20), 20)",2.71,1.71,0.84,0.99,high_turnover
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(-ts_corr(rank(volume), 20), 20)",1.15,0.55,0.66,0.13,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(-ts_corr(rank(volume), 20), 4)",1.59,0.19,0.55,0.51,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(-ts_corr(rank(volume), 20), 8)",1.65,0.65,0.05,0.63,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,rank(rank(ts_std_dev(returns),0.56,1.56,0.23,0.28,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(rank(rank(ts_std_dev(returns), 5)",0.83,1.03,0.31,0.41,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(rank(rank(ts_std_dev(returns), 5)",0.36,0.76,0.89,0.79,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(rank(rank(ts_std_dev(returns), 10)",0.66,1.06,0.55,0.69,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(rank(rank(ts_std_dev(returns), 20)",0.11,1.71,0.34,0.19,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(rank(rank(ts_std_dev(returns), 20)",0.7,0.5,0.42,0.34,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(rank(rank(ts_std_dev(returns), 2)",-0.2,0.8,0.04,0.0,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(rank(rank(ts_std_dev(returns), 4)",1.72,1.52,0.66,0.17,high_turnover
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(rank(rank(ts_std_dev(returns), 8)",-0.07,1.33,0.36,0.0,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,zscore(rank(ts_std_dev(returns),2.7,0.9,0.45,0.81,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(zscore(rank(ts_std_dev(returns), 5)",0.08,0.48,0.55,0.54,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(zscore(rank(ts_std_dev(returns), 5)",0.53,1.73,0.87,0.57,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(zscore(rank(ts_std_dev(returns), 10)",1.42,1.02,0.7,0.03,high_turnover
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(zscore(rank(ts_std_dev(returns), 10)",0.69,0.09,0.42,0.17,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(zscore(rank(ts_std_dev(returns), 20)",1.22,0.22,0.41,0.96,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(zscore(rank(ts_std_dev(returns), 2)",-0.14,1.86,0.35,0.06,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(rank(ts_std_dev(returns, 10), 5)",0.92,1.32,0.8,0.24,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(rank(ts_std_dev(returns, 10), 10)",1.61,0.61,0.73,0.87,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(rank(ts_std_dev(returns, 10), 10)",1.39,1.79,0.69,0.32,high_turnover
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(rank(ts_std_dev(returns, 10), 20)",-0.1,0.1,0.7,0.88,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(rank(ts_std_dev(returns, 10), 20)",2.05,0.05,0.75,0.07,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(rank(ts_std_dev(returns, 10), 2)",2.08,0.08,0.41,0.01,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(rank(ts_std_dev(returns, 10), 4)",1.9,0.7,0.6,0.77,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(rank(ts_std_dev(returns, 10), 8)",2.75,0.55,0.76,0.99,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(rank(ts_std_dev(returns, 20), 5)",2.76,2.16,0.68,0.23,high_turnover
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(rank(ts_std_dev(returns, 20), 10)",0.46,0.86,0.56,0.15,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(rank(ts_std_dev(returns, 20), 10)",2.75,1.55,0.63,0.29,high_turnover
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(rank(ts_std_dev(returns, 20), 20)",1.17,0.97,0.71,0.13,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(rank(ts_std_dev(returns, 20), 20)",0.42,1.02,0.13,0.62,low_sharpe
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(rank(ts_std_dev(returns, 20), 2)",1.47,0.47,0.19,0.98,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(rank(ts_std_dev(returns, 20), 4)",2.05,0.85,0.32,0.36,low_fitness
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(rank(ts_std_dev(returns, 20), 8)",1.54,1.34,0.76,0.69,high_turnover
USA,TOP1000,4,SECTOR,1,ts_rank(close,1.89,0.29,0.34,0.82,low_fitness
USA,TOP1000,4,SECTOR,1,"ts_mean(ts_rank(close, 5)",0.8,0.4,0.1,0.76,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_rank(ts_rank(close, 5)",0.04,0.44,0.2,0.6,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_rank(ts_rank(close, 10)",0.58,1.38,0.71,0.45,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_mean(ts_rank(close, 20)",1.28,1.68,0.85,0.55,high_turnover
USA,TOP1000,4,SECTOR,1,"ts_rank(ts_rank(close, 20)",-0.13,1.67,0.35,0.41,low_sharpe
USA,TOP1000,4,SECTOR,1,"decay_linear(ts_rank(close, 4)",2.15,0.95,0.8,0.37,low_fitness
USA,TOP1000,4,SECTOR,1,"decay_linear(ts_rank(close, 8)",1.23,0.23,0.24,0.61,low_fitness
USA,TOP1000,4,SECTOR,1,rank(close-open),1.78,0.38,0.71,0.94,low_fitness
USA,TOP1000,4,SECTOR,1,"ts_mean(rank(close-open), 5)",2.38,0.78,0.49,0.74,low_fitness
USA,TOP1000,4,SECTOR,1,"ts_rank(rank(close-open), 5)",1.52,0.72,0.63,0.51,low_fitness
USA,TOP1000,4,SECTOR,1,"ts_rank(rank(close-open), 10)",1.09,2.09,0.74,0.72,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_mean(rank(close-open), 20)",0.96,0.96,0.76,0.36,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_rank(rank(close-open), 20)",0.2,1.2,0.31,0.61,low_sharpe
USA,TOP1000,4,SECTOR,1,"decay_linear(rank(close-open), 2)",1.84,0.84,0.29,0.82,low_fitness
USA,TOP1000,4,SECTOR,1,"decay_linear(rank(close-open), 8)",1.18,2.18,0.11,0.19,low_sharpe
USA,TOP1000,4,SECTOR,1,-ts_corr(rank(volume),0.98,1.38,0.42,0.48,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_mean(-ts_corr(rank(volume), 5)",1.02,1.62,0.81,0.95,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_mean(-ts_corr(rank(volume), 10)",1.05,1.65,0.65,0.3,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_mean(-ts_corr(rank(volume), 20)",0.61,2.01,0.45,0.57,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_rank(-ts_corr(rank(volume), 20)",2.44,0.84,0.29,0.97,low_fitness
USA,TOP1000,4,SECTOR,1,"decay_linear(-ts_corr(rank(volume), 2)",-0.19,0.81,0.68,0.23,low_sharpe
USA,TOP1000,4,SECTOR,1,"decay_linear(-ts_corr(rank(volume), 4)",0.76,1.16,0.48,0.64,low_sharpe
USA,TOP1000,4,SECTOR,1,"decay_linear(-ts_corr(rank(volume), 8)",2.34,1.14,0.87,0.56,high_turnover
USA,TOP1000,4,SECTOR,1,rank(ts_std_dev(returns,0.68,1.68,0.25,0.58,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_mean(rank(ts_std_dev(returns, 5)",0.91,0.51,0.58,0.65,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_rank(rank(ts_std_dev(returns, 5)",0.97,0.37,0.42,0.65,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_mean(rank(ts_std_dev(returns, 10)",0.73,1.53,0.64,0.81,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_mean(rank(ts_std_dev(returns, 20)",0.01,1.81,0.8,0.18,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_rank(rank(ts_std_dev(returns, 20)",0.35,0.35,0.5,0.44,low_sharpe
USA,TOP1000,4,SECTOR,1,"decay_linear(rank(ts_std_dev(returns, 2)",0.75,0.55,0.77,0.93,low_sharpe
USA,TOP1000,4,SECTOR,1,"decay_linear(rank(ts_std_dev(returns, 4)",1.89,1.29,0.81,0.12,high_turnover
USA,TOP1000,4,SECTOR,1,"decay_linear(rank(ts_std_dev(returns, 8)",-0.12,1.48,0.09,0.65,low_sharpe
USA,TOP1000,4,SECTOR,1,rank(ts_rank(close),2.47,0.07,0.38,0.09,low_fitness
USA,TOP1000,4,SECTOR,1,"ts_mean(rank(ts_rank(close), 5)",1.63,0.23,0.69,0.87,low_fitness
USA,TOP1000,4,SECTOR,1,"ts_rank(rank(ts_rank(close), 5)",0.91,1.31,0.07,0.53,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_mean(rank(ts_rank(close), 10)",0.13,0.53,0.64,0.66,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_rank(rank(ts_rank(close), 10)",0.95,0.95,0.89,0.36,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_mean(rank(ts_rank(close), 20)",2.49,0.49,0.34,0.74,low_fitness
USA,TOP1000,4,SECTOR,1,"decay_linear(rank(ts_rank(close), 2)",0.93,1.73,0.33,0.59,low_sharpe
USA,TOP1000,4,SECTOR,1,"decay_linear(rank(ts_rank(close), 4)",0.48,0.48,0.18,0.21,low_sharpe
USA,TOP1000,4,SECTOR,1,zscore(ts_rank(close),1.1,1.9,0.74,0.31,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_mean(zscore(ts_rank(close), 10)",-0.14,2.06,0.26,0.35,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_rank(zscore(ts_rank(close), 10)",2.22,0.02,0.6,0.9,low_fitness
USA,TOP1000,4,SECTOR,1,"ts_rank(zscore(ts_rank(close), 20)",0.51,0.31,0.61,0.63,low_sharpe
USA,TOP1000,4,SECTOR,1,"decay_linear(zscore(ts_rank(close), 2)",1.64,0.64,0.82,0.99,low_fitness
USA,TOP1000,4,SECTOR,1,"decay_linear(zscore(ts_rank(close), 4)",0.74,0.94,0.64,0.99,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_mean(ts_mean(ts_rank(close, 10), 5)",0.13,0.13,0.09,0.43,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_rank(ts_mean(ts_rank(close, 10), 5)",-0.18,0.02,0.6,0.64,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_mean(ts_mean(ts_rank(close, 10), 10)",0.13,2.13,0.86,0.25,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_rank(ts_mean(ts_rank(close, 10), 10)",0.03,1.63,0.29,0.48,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_mean(ts_mean(ts_rank(close, 10), 20)",0.08,0.48,0.29,0.07,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_rank(ts_mean(ts_rank(close, 10), 20)",2.19,1.99,0.64,0.14,high_turnover
USA,TOP1000,4,SECTOR,1,"decay_linear(ts_mean(ts_rank(close, 10), 2)",-0.02,0.18,0.71,0.54,low_sharpe
USA,TOP1000,4,SECTOR,1,"decay_linear(ts_mean(ts_rank(close, 10), 4)",1.79,0.19,0.49,0.58,low_fitness
USA,TOP1000,4,SECTOR,1,"decay_linear(ts_mean(ts_rank(close, 10), 8)",0.25,1.85,0.23,0.43,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_mean(ts_rank(ts_rank(close, 20), 5)",0.96,0.16,0.5,0.18,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_rank(ts_rank(ts_rank(close, 20), 5)",1.14,1.54,0.1,0.96,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_rank(ts_rank(ts_rank(close, 20), 10)",-0.08,1.12,0.57,0.65,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_rank(ts_rank(ts_rank(close, 20), 20)",0.16,0.76,0.65,0.02,low_sharpe
USA,TOP1000,4,SECTOR,1,"decay_linear(ts_rank(ts_rank(close, 20), 2)",1.19,1.79,0.49,0.84,low_sharpe
USA,TOP1000,4,SECTOR,1,"decay_linear(ts_rank(ts_rank(close, 20), 4)",1.74,0.54,0.4,0.58,low_fitness
USA,TOP1000,4,SECTOR,1,"decay_linear(ts_rank(ts_rank(close, 20), 8)",1.77,0.37,0.02,0.52,low_fitness
USA,TOP1000,4,SECTOR,1,rank(rank(close-open)),0.07,1.27,0.29,0.31,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_rank(rank(rank(close-open)), 5)",0.13,1.73,0.6,0.37,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_rank(rank(rank(close-open)), 10)",1.8,0.6,0.32,0.35,low_fitness
USA,TOP1000,4,SECTOR,1,"ts_mean(rank(rank(close-open)), 20)",-0.04,0.56,0.4,0.77,low_sharpe
USA,TOP1000,4,SECTOR,1,"decay_linear(rank(rank(close-open)), 2)",2.76,0.36,0.85,0.82,low_fitness
USA,TOP1000,4,SECTOR,1,"ts_mean(zscore(rank(close-open)), 5)",0.48,1.48,0.56,0.27,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_mean(zscore(rank(close-open)), 10)",1.43,0.23,0.06,0.33,low_fitness
USA,TOP1000,4,SECTOR,1,"ts_mean(zscore(rank(close-open)), 20)",2.64,0.84,0.66,0.04,low_fitness
USA,TOP1000,4,SECTOR,1,"decay_linear(zscore(rank(close-open)), 2)",2.39,1.99,0.75,0.5,high_turnover
USA,TOP1000,4,SECTOR,1,"decay_linear(zscore(rank(close-open)), 4)",0.49,1.69,0.18,0.57,low_sharpe
USA,TOP1000,4,SECTOR,1,"decay_linear(zscore(rank(close-open)), 8)",2.62,1.62,0.61,0.57,high_turnover
USA,TOP1000,4,SECTOR,1,"ts_mean(ts_mean(rank(close-open), 10), 5)",-0.02,1.58,0.02,0.01,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_rank(ts_mean(rank(close-open), 10), 5)",-0.02,1.98,0.28,0.48,low_sharpe
USA,TOP1000,4,SECTOR,1,"ts_mean(ts_mean(rank(close-open), 10), 10)",1.65,0.65,0.52,0.22,low_fitness
USA,TOP1000,4,SECTOR,1,"ts_mean(ts_mean(rank(close-open), 10), 20)",0.12,1.12,0.86,0.13,low_sharpe
USA,TOP1000,4,SECTOR,1,"decay_linear(ts_mean(rank(close-open), 10), 2)",1.52,0.92,0.46,0.21,low_fitness
USA,TOP1000,4,SECTOR,1,"decay_linear(ts_mean(rank(close-open), 10), 4)",0.23,0.63,0.49,0.08,low_sharpe
